product_id,product_name,category,unit_price,unit_cost,popularity_weight
1,BBQ Platter Mix,Platters,2500,1100,1.5
2,Chicken Tikka,Main Course,1500,650,1.2
3,Biryani,Rice Dishes,1200,520,1.1
4,Seekh Kabab,Main Course,1800,750,1.3
5,Nihari,Curry,1100,480,0.9
6,Haleem,Curry,1300,550,1.0
7,Shami Kabab,Appetizer,600,240,0.8
8,Samosa Platter,Appetizer,500,180,0.7
9,Lassi,Beverages,300,80,0.6
10,Chai,Beverages,150,40,0.5
11,Raita,Sides,200,60,0.4
12,Naan,Bread,100,30,1.1
13,Roti,Bread,80,20,0.9
14,Dessert Plate,Desserts,400,150,0.7
