order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,1,3,2500,5,7125.0
2,1,3,3,1200,0,3600.0
3,1,7,2,600,5,1140.0
4,2,3,1,1200,0,1200.0
5,2,8,2,500,0,1000.0
6,2,12,1,100,0,100.0
7,3,4,3,1800,0,5400.0
8,3,13,3,80,0,240.0
9,4,4,2,1800,0,3600.0
10,4,2,3,1500,0,4500.0
11,4,12,3,100,0,300.0
12,4,12,2,100,5,190.0
13,4,14,3,400,5,1140.0
14,5,1,2,2500,0,5000.0
15,5,4,2,1800,0,3600.0
16,5,3,3,1200,0,3600.0
17,5,8,1,500,5,475.0
18,5,13,2,80,5,152.0
19,6,12,1,100,0,100.0
20,6,8,1,500,0,500.0
21,7,11,1,200,0,200.0
22,7,3,2,1200,5,2280.0
23,7,11,2,200,0,400.0
24,7,13,3,80,0,240.0
25,8,6,3,1300,0,3900.0
26,8,6,3,1300,0,3900.0
27,8,14,1,400,0,400.0
28,9,10,3,150,0,450.0
29,10,5,1,1100,5,1045.0
30,10,2,3,1500,5,4275.0
31,10,13,3,80,5,228.0
32,11,13,1,80,0,80.0
33,11,8,1,500,0,500.0
34,11,4,2,1800,0,3600.0
35,11,5,2,1100,0,2200.0
36,12,2,3,1500,0,4500.0
37,12,13,1,80,0,80.0
38,12,5,1,1100,0,1100.0
39,12,1,3,2500,0,7500.0
40,13,10,3,150,0,450.0
41,13,11,2,200,0,400.0
42,13,6,1,1300,10,1170.0
43,13,3,3,1200,10,3240.0
44,14,12,3,100,0,300.0
45,14,12,1,100,0,100.0
46,14,1,3,2500,10,6750.0
47,14,2,2,1500,0,3000.0
48,14,10,3,150,5,427.5
49,15,14,2,400,0,800.0
50,15,3,1,1200,0,1200.0
51,16,13,3,80,0,240.0
52,16,8,1,500,0,500.0
53,16,4,2,1800,0,3600.0
54,17,11,1,200,0,200.0
55,17,12,2,100,0,200.0
56,17,12,3,100,0,300.0
57,17,14,2,400,0,800.0
58,17,13,3,80,0,240.0
59,18,13,3,80,5,228.0
60,18,2,3,1500,0,4500.0
61,19,4,3,1800,0,5400.0
62,19,3,3,1200,0,3600.0
63,19,9,2,300,0,600.0
64,20,9,2,300,0,600.0
65,21,6,1,1300,0,1300.0
66,21,4,1,1800,0,1800.0
67,22,14,1,400,0,400.0
68,22,9,2,300,0,600.0
69,22,10,3,150,0,450.0
70,22,6,1,1300,0,1300.0
71,23,1,3,2500,0,7500.0
72,23,7,2,600,10,1080.0
73,23,14,2,400,0,800.0
74,24,6,1,1300,0,1300.0
75,25,14,2,400,0,800.0
76,25,6,3,1300,0,3900.0
77,25,9,3,300,0,900.0
78,25,10,2,150,0,300.0
79,26,3,1,1200,5,1140.0
80,26,11,2,200,0,400.0
81,27,1,2,2500,5,4750.0
82,27,8,2,500,0,1000.0
83,27,4,3,1800,0,5400.0
84,27,7,2,600,5,1140.0
85,28,1,1,2500,0,2500.0
86,28,8,2,500,0,1000.0
87,29,4,3,1800,0,5400.0
88,29,7,3,600,0,1800.0
89,30,3,3,1200,0,3600.0
90,31,4,3,1800,0,5400.0
91,31,1,1,2500,0,2500.0
92,32,14,3,400,0,1200.0
93,32,2,2,1500,0,3000.0
94,33,9,1,300,0,300.0
95,33,10,3,150,0,450.0
96,34,10,2,150,5,285.0
97,34,4,1,1800,5,1710.0
98,34,5,2,1100,0,2200.0
99,35,1,1,2500,0,2500.0
100,35,11,1,200,0,200.0
101,36,12,1,100,5,95.0
102,36,7,3,600,0,1800.0
103,37,10,3,150,5,427.5
104,37,8,3,500,0,1500.0
105,38,3,2,1200,0,2400.0
106,38,10,1,150,0,150.0
107,39,9,2,300,0,600.0
108,39,12,1,100,0,100.0
109,39,10,3,150,0,450.0
110,39,8,2,500,0,1000.0
111,39,4,3,1800,0,5400.0
112,40,14,3,400,0,1200.0
113,40,8,2,500,0,1000.0
114,40,13,3,80,0,240.0
115,40,10,2,150,0,300.0
116,41,2,2,1500,0,3000.0
117,41,12,2,100,0,200.0
118,42,3,2,1200,0,2400.0
119,42,11,1,200,0,200.0
120,42,8,1,500,0,500.0
121,43,7,3,600,0,1800.0
122,43,11,2,200,0,400.0
123,43,3,1,1200,0,1200.0
124,43,5,3,1100,0,3300.0
125,44,5,1,1100,0,1100.0
126,45,13,1,80,0,80.0
127,46,12,3,100,0,300.0
128,46,13,2,80,0,160.0
129,46,1,1,2500,0,2500.0
130,46,12,3,100,0,300.0
131,46,3,1,1200,0,1200.0
132,47,1,2,2500,0,5000.0
133,47,5,1,1100,5,1045.0
134,47,2,2,1500,0,3000.0
135,48,6,1,1300,0,1300.0
136,48,5,2,1100,0,2200.0
137,49,1,1,2500,5,2375.0
138,49,3,2,1200,0,2400.0
139,49,13,2,80,0,160.0
140,49,14,3,400,5,1140.0
141,50,11,2,200,0,400.0
142,50,14,1,400,0,400.0
143,50,6,3,1300,0,3900.0
144,51,14,2,400,0,800.0
145,52,12,3,100,0,300.0
146,52,6,1,1300,0,1300.0
147,52,9,3,300,0,900.0
148,53,3,1,1200,0,1200.0
149,53,13,1,80,0,80.0
150,53,2,3,1500,0,4500.0
151,54,2,2,1500,0,3000.0
152,54,6,2,1300,0,2600.0
153,54,9,1,300,0,300.0
154,55,5,2,1100,5,2090.0
155,55,3,3,1200,5,3420.0
156,56,13,2,80,10,144.0
157,56,2,2,1500,0,3000.0
158,56,6,3,1300,5,3705.0
159,56,7,1,600,0,600.0
160,56,13,2,80,0,160.0
161,57,10,3,150,0,450.0
162,57,9,3,300,0,900.0
163,57,8,2,500,0,1000.0
164,58,12,1,100,0,100.0
165,58,9,2,300,10,540.0
166,58,12,2,100,10,180.0
167,59,4,1,1800,0,1800.0
168,59,14,2,400,5,760.0
169,59,9,1,300,0,300.0
170,59,1,3,2500,0,7500.0
171,60,9,2,300,0,600.0
172,60,8,2,500,0,1000.0
173,60,9,3,300,0,900.0
174,60,11,2,200,0,400.0
175,60,7,1,600,0,600.0
176,61,6,1,1300,0,1300.0
177,61,12,1,100,0,100.0
178,62,13,1,80,0,80.0
179,62,5,2,1100,0,2200.0
180,62,4,2,1800,5,3420.0
181,63,10,2,150,10,270.0
182,63,12,1,100,0,100.0
183,64,10,2,150,0,300.0
184,64,11,2,200,0,400.0
185,65,6,1,1300,0,1300.0
186,65,10,2,150,0,300.0
187,65,1,3,2500,0,7500.0
188,65,8,1,500,5,475.0
189,65,3,3,1200,0,3600.0
190,66,7,2,600,5,1140.0
191,66,7,2,600,0,1200.0
192,66,1,1,2500,0,2500.0
193,66,7,2,600,0,1200.0
194,66,11,2,200,0,400.0
195,67,6,2,1300,0,2600.0
196,67,7,2,600,0,1200.0
197,68,2,1,1500,10,1350.0
198,68,1,2,2500,0,5000.0
199,69,14,3,400,0,1200.0
200,69,4,2,1800,0,3600.0
201,69,14,3,400,10,1080.0
202,70,6,1,1300,0,1300.0
203,70,10,1,150,0,150.0
204,70,1,3,2500,0,7500.0
205,71,7,2,600,0,1200.0
206,71,5,2,1100,0,2200.0
207,71,4,1,1800,0,1800.0
208,71,6,1,1300,5,1235.0
209,71,12,3,100,0,300.0
210,72,9,2,300,0,600.0
211,72,10,1,150,0,150.0
212,72,4,3,1800,0,5400.0
213,72,1,2,2500,0,5000.0
214,73,12,2,100,0,200.0
215,73,1,3,2500,0,7500.0
216,74,5,2,1100,0,2200.0
217,75,2,3,1500,0,4500.0
218,75,14,1,400,0,400.0
219,75,11,1,200,0,200.0
220,76,13,3,80,0,240.0
221,76,7,1,600,0,600.0
222,76,11,1,200,0,200.0
223,76,13,2,80,5,152.0
224,76,8,3,500,0,1500.0
225,77,14,1,400,0,400.0
226,77,1,3,2500,0,7500.0
227,77,2,3,1500,0,4500.0
228,78,3,3,1200,0,3600.0
229,78,2,3,1500,0,4500.0
230,78,13,3,80,5,228.0
231,78,3,3,1200,0,3600.0
232,79,11,3,200,0,600.0
233,79,6,3,1300,0,3900.0
234,79,10,1,150,0,150.0
235,79,14,3,400,10,1080.0
236,80,2,1,1500,0,1500.0
237,80,8,1,500,0,500.0
238,80,3,3,1200,0,3600.0
239,80,11,1,200,0,200.0
240,80,11,3,200,0,600.0
241,81,5,1,1100,0,1100.0
242,81,9,2,300,0,600.0
243,81,1,2,2500,0,5000.0
244,81,10,3,150,0,450.0
245,82,6,2,1300,5,2470.0
246,82,14,3,400,0,1200.0
247,82,3,2,1200,0,2400.0
248,82,2,1,1500,0,1500.0
249,82,11,2,200,0,400.0
250,83,14,3,400,0,1200.0
251,83,10,1,150,0,150.0
252,83,8,2,500,0,1000.0
253,83,14,2,400,0,800.0
254,83,7,2,600,5,1140.0
255,84,12,3,100,0,300.0
256,84,11,2,200,0,400.0
257,84,7,3,600,0,1800.0
258,84,11,3,200,10,540.0
259,85,5,1,1100,0,1100.0
260,85,5,2,1100,0,2200.0
261,85,12,3,100,5,285.0
262,86,9,3,300,10,810.0
263,86,4,1,1800,0,1800.0
264,86,3,2,1200,0,2400.0
265,86,6,2,1300,0,2600.0
266,86,10,1,150,0,150.0
267,87,8,1,500,0,500.0
268,87,7,2,600,0,1200.0
269,88,7,3,600,0,1800.0
270,88,6,1,1300,0,1300.0
271,88,1,2,2500,5,4750.0
272,89,14,1,400,0,400.0
273,89,12,3,100,0,300.0
274,89,13,2,80,0,160.0
275,90,3,3,1200,5,3420.0
276,90,1,3,2500,0,7500.0
277,91,7,2,600,0,1200.0
278,91,12,2,100,0,200.0
279,91,8,1,500,10,450.0
280,91,3,3,1200,0,3600.0
281,92,5,1,1100,0,1100.0
282,92,6,1,1300,0,1300.0
283,93,2,2,1500,0,3000.0
284,93,11,3,200,0,600.0
285,93,6,3,1300,0,3900.0
286,94,5,1,1100,0,1100.0
287,94,4,1,1800,0,1800.0
288,94,14,3,400,5,1140.0
289,95,5,3,1100,5,3135.0
290,95,10,2,150,0,300.0
291,95,14,2,400,0,800.0
292,95,10,3,150,0,450.0
293,95,1,2,2500,0,5000.0
294,96,3,2,1200,0,2400.0
295,96,1,2,2500,0,5000.0
296,97,9,3,300,0,900.0
297,97,1,1,2500,0,2500.0
298,97,4,3,1800,0,5400.0
